"data_hora","modalidade","ronda","tipo","titulo","ano","rating_real","palpite_j1","palpite_j2","erro_j1","erro_j2","vencedor_ronda"
"2025-10-26 22:28:31.976155","Misto",3,"Série","Homeland","(2011até2020)",8.3,8,9,0.300000000000001,0.699999999999999,"Nuno"
"2025-10-26 22:28:33.061062","Misto",4,"Filme","Hamilton","-2020",8.4,9,8,0.6,0.4,"Maria"
"2025-10-26 22:28:35.430457","Misto",5,"Série","Person_of_Interest","(2011até2016)",8.4,8,9,0.4,0.6,"Nuno"
"2025-10-26 22:28:56.906368","Misto",1,"Filme","Psycho","-1960",8.5,8,5,0.5,3.5,"Nuno"
"2025-10-26 22:29:06.322666","Misto",2,"Série","Money_Heist","(2017até2021)",8.2,8.2,8,0,0.199999999999999,"Nuno"
"2025-10-26 22:29:17.322337","Misto",3,"Filme","The_Last_Airbender","2010",4,8,4,4,0,"Maria"
"2025-10-27 20:45:43.973912","Misto",1,"Filme","The_Human_Centipede_(First_Sequence)","2009",4.4,8,9,3.6,4.6,"Jogador1"
"2025-10-27 20:45:45.855812","Misto",2,"Filme","Apocalypse_Now","-1979",8.4,9,8,0.6,0.4,"Jogador2"
"2025-10-27 20:45:52.361148","Misto",1,"Filme","Madame_Web","2024",3.8,8,9,4.2,5.2,"Jogador1"
"2025-10-27 20:45:53.802896","Misto",2,"Série","The_Mentalist","(2008até2015)",8.1,9,8,0.9,0.0999999999999996,"Jogador2"
"2025-10-27 20:45:55.101611","Misto",3,"Filme","Space_Jam:_A_New_Legacy","2021",4.2,8,9,3.8,4.8,"Jogador1"
"2025-10-27 20:46:12.920326","Misto",1,"Série","Altered_Carbon","(2018até2020)",8,8,9,0,1,"Jogador1"
"2025-10-27 20:46:14.929184","Misto",2,"Filme","The_Last_Airbender","2010",4,9,8,5,4,"Jogador2"
"2025-10-27 20:46:16.441603","Misto",3,"Série","The_Simpsons","(1989até_)",8.6,8,9,0.6,0.4,"Jogador2"
"2025-10-27 20:50:16.423607","Misto",1,"Filme","American_History_X","-1998",8.5,8,9,0.5,0.5,"empate"
"2025-10-27 20:50:18.10819","Misto",2,"Série","True_Detective","(2014até2019)",8.9,8,9,0.9,0.0999999999999996,"Jogador2"
"2025-10-27 20:50:20.917247","Misto",3,"Série","Avatar:_The_Last_Airbender","(2005até2008)",9.3,8,9,1.3,0.300000000000001,"Jogador2"
